date,location,review,stars,username
2/16/2021,"El Monte, CA","I loved this place. Very outdoorsy and accommodating to dogs. The outside seating was very comfortable and spaced out appropriately with COVID restrictions. I ordered the lamb burger with was very good. I love feta cheese personally. And my girlfriend got the bacon burger which was, well exactly what it says. For appetizers we ordered the brussel sprouts which have a small sweet flavor because of the vinaigrette I believe. That was my favorite. And we also ordered the Mac and Cheese which I'm bias too because I love me my Mac and cheese. Overall, love the environment. And would definitely come back. On busy night, be sure to wait there in person. Only 5 groups are allowed on a waitlist at a time. So get there early!",5 star rating,Sherman C.
5/23/2021,"Scottsdale, AZ",This cafe has outstanding service and food! Lovely patio with welcomingIng servers. We had the fried chicken and the ribs ( fall off the bone delicious!) We loved the entire meal and were so satiated that we had to pass on their flourless chocolate cake! Yum!,5 star rating,Janice L.
4/15/2021,"San Francisco, CA",Very good food I understand why it was so sought after! Would go back again! No reservations and you have to put you nameOn a paper list and then wait nearby - they made it very clear if you don't hear your name called then they move on to the next one. Seems very flawed especially when we called to ask if we can put our name down and then walk around the town and they said yes only to change their mind in person.Overall the waiting experience 2.5/5 but the service once we got to the table was 5/5!,5 star rating,JD E.
5/15/2021,"Brea, CA","My girlfriend and I came to this place with our dogs and immediately the environment was welcoming! It's hard to say how busy it would get because we came on a weekday afternoon. I had the Benedict and my girlfriend had the pulled pork sandwich. Both were extremely juicy, savory, and excellent! We complimented our dishes with a Bloody Mary and a drink called Mandarin Smash. I would highly recommend these drinks - the bartender definitely knows how to make some pretty damn good drinks! I would recommend this place if you're in Solvang - lunch or dinner. We are definitely coming back here!",5 star rating,Andrew C.
5/5/2021,"Claremont, CA","Another solvang trip means another visit to Succulent. Coming to this restaurant is always a must for my sister and I. We love it here. We even try to recreate some of their dishes at home when we miss Succulent Cafe. LOL.In my most recent visit, I ordered the vegan chili, my sister ordered the Caesar salad and the mini biscuits. My boyfriend ordered the pulled pork sandwich. The food came out super fast. And we were seated quickly too which was a plus. As always, we had a splendid time at Succulent.",5 star rating,Kristine D.
5/4/2021,"Los Angeles, CA","The Succulent Biscuit (10/10) - cinnamon cumin pulled pork, bacon gravy, pineapple chutneyI LOVED this menu item. It was everything I could have possibly wanted from a brunch breakfast. It's not what I normally order, but that's the reason why I love this dish so much! It is very flavorful with the slather of bacon gravy on top and freshly topped with a pineapple taste.  It's new, interesting, and fantastic!Would go back!! I enjoyed the vibes of this cafe. Good service. I love my friends because we understand that whatever we order we all need to try a bit of each. LOL I got to try the eggs benedict, which was very solid as well. I'd rate this place 4.75/5  because the food is GREAT but I don't know if it's crave-worthy. It's just another great dine-in restaurant.",5 star rating,Karen U.
4/15/2021,"Bakersfield, CA","While on our way to dinner we walked past this adorable restaurant and stopped to have a cocktail and appy. The outdoor space was just absolutely fabulous and the perfect way to spend the early evening. We had the opportunity to sit next to a lovely family with the cutest little four month old pup.For cocktails I opted for a simple margarita that was well balanced. Just enough sweet and tart. While the boyfriend went for the Tennessee Mule. Yelp directed us to their bacon wrapped diver scallops and we were not disappointed. Service was prompt and friendly, even though they were extremely busy. We couldn't have asked for a better pre-dinner spot!",5 star rating,McKenzie S.
5/24/2021,"Bakersfield, CA","Excellent service, great food, and cute atmosphere! It's like you're eating in a secrete garden surrounded by succulents and various plants. The food arrived in a timely manner and you can tell they put a lot of thought into the preparation. The Cali Benedict was perfectly cooked and the spicy fried chicken with biscuit and gravy was flavorful. Would definitely visit again.",5 star rating,J K.
5/23/2021,"Long Beach, CA","Meh. The food here didn't match the prices they charged. Most things tasted like they came from a frozen food box. We had dinner and wine. The wine was good of course! But the food was lacking. The scallop appetizers were dry and lacked flavor. Again, they tasted like they came from a box of frozen scallops.  The pasta was just okay.  This place seems to lack any and all the love in the cooking. And for what they charged us, no way I will come back. The venue is nice and I like the outdoor setting. Wait staff was very friendly and on point. Come on guys! FIX THE FOOD!! Shall I call Gordon Ramsey?",2 star rating,Gary N.
2/13/2021,"North Hollywood, Los Angeles, CA","Wait was more then 45 min and I'mSo glad we waited because the breakfast was amazing. French toast had such a unique taste and it was so soft melted in your mouth. The Cali eggs Benedict was layered with amazing flavored. Avocado, tomato, grilled onions top with perfectly cooked eggs and delicious hollandaise sauce. Kids enjoyed there chicken tenders fries and fresh fruit. Must try place when visiting Solvang!!! Not to mention our waitress was so friendly and sweet!",5 star rating,Anna S.
