date,location,review,stars,username
3/10/2021,"Rancho Palos Verdes, CA","Ate lunch here while we were visiting Solvang for the day. We had to wait in a line but the line was worth it. They have a bunch of tables to sit at outside so seating wasn't a problem. The food was super good. We got the hot wings, sausages, and fish and chips. The fish and chips were decent but the wings were so delicious, as well as the sausages. The beer was also really good. They have a bunch of different sizes of beer. Their french fries that came with the fish and chips wwre so delicious! The inside of the restaurant was super cool. The bathrooms were fun but definitely needed upkeeping.",5 star rating,Brit A.
10/26/2020,"Camarillo, CA",Solvang Brewing is a cute little spot. Busy during the touristy seasons and weekends.I would suggest getting here a little early to beat the crowds and to get a good seat.I would say service was average- not bad not great. There were moments when our waitress was on top of things and then long lags in her checking on us to get a fresh drink. Like I said they get busy so realistically it wasn't too bad. The bar was popping and I could see that they were cranking out drinks left and right.The food was definitely good. Always a fan of bar type finger foods and appetizers. Our group was satisfied and our favorite overall were the wings. Good sauce and a nice crunch. Our cocktails were also pretty good. They have a good selection and I'd say a well versed menu to accommodate most people.It's very casual and a great stop along your Solvang journey. I'd be back and again just recommend getting inside a little before noon to ensure some seats.,4 star rating,Melissa L.
5/23/2021,"Modesto, CA",If you're starving don't come to this place. For 2 burgers and chicken tenders the wait for the food was one hour+++,2 star rating,Rosena C.
11/4/2020,"Monrovia, CA","Grabbed some takeaway dinner here on a business trip about a month ago. The restaurant has a great atmosphere! Very cozy and welcoming! At the time, it was all outdoor seating only, but the very next day, they were allowed to move to socially-distanced indoor seating.The staff were very helpful and friendly. There's plenty of room for social distancing and everyone wears masks. My 3-stars was for the wait-time and the food quality. We ordered our items to go and had to wait for ages! Not sure why bc all we ordered was wings, soup and a salad. The hot wings were pretty standard - good but average. Had plenty of crudités so that was nice! I ordered the Choice Garden Salad with the vinaigrette- the greens had a nice variety and were ample, but sadly the dressing was minimal and pretty bland. I also ordered the French Onion Soup and I have to say it was probably one of the worst ones I've ever had. It was black - couldn't tell if it was made with too much Stout or if it was actually burnt - and it seemed like it had been sitting for a long time bc the bread in the soup had absorbed so much of the broth and was so mushy. Very disappointed in the soup. So bottom line for us - the staff and ambiance were great but the food, not so much. Doubt we'd return.",3 star rating,Hannah S.
5/22/2021,"Southeast, Las Vegas, NV",The bartender was amazing! Amazing phenomenal beer! The sour they had on top was to die for. The pretzels were pretty bomb!,5 star rating,Tarah D.
4/30/2021,"Lompoc, CA","Not impressed. We have been here before pre covid and had a decent experience. This time was a big disappointment...we did a pick up order. The burgers were done the opposite of what we asked. Got the carnitas nachos and lets just say sometimes less is more. It was a pile of inedible slop, squished into a styrafoam container. When picking up, we were pushed from place to place til finally able to pay...where gratuity is forced at 18% after being treated rudely and getting the order half wrong. Definitely not returning.",2 star rating,Michelle W.
1/23/2021,"Los Angeles, CA","We arrived yesterday in Solvang, looking for a good dinner.  We were recommended to go to Solvang Brewing Company.  This could not have been a better choice.  The service was excellent with Aubrey.  She helped us with what to order and what a help she is!! Our family got nachos, fish and chips and pizza.  We were so pleased with it.  Sometimes you need the comfort of this food.  I only wish we could have dined in at the restaurant.  Everyone was warm and friendly who worked there.  I would return ANYtime!!",5 star rating,Seth B.
4/6/2021,"Santa Barbara, CA",Visit recently as it was opening back up outside. Had a nice time I think it needs a bit of refurbishing since it is a staple of Solvang.  Food was good and drinks were good!,3 star rating,Alysha T.
5/1/2021,"San Jose, CA",Beers are great......food was good!!! We had the Triple IPA and the Apricot IPA and the Tri Tip French Dip and The Black and Blue Burger with extra blue cheese crumbles and the Fried Zucchini it was all delicious,5 star rating,Sylvia M.
3/28/2021,"San Francisco, CA","Worst dining experience I've ever had.First, meals are overpriced and the quality doesn't even justify the cost.Second, you order AND PAY in advance, which other restaurants don't do.Third, YOU ARE AUTOMATICALLY CHARGED AN 18% GRATUITY -- without your consent or knowledge -- so my group ended up tipping a total of 30%+ since we tipped on top of that undisclosed automatic charge.Fourth, WE WAITED OVER AN HOUR to get our group's last meal. The first plate arrived after 30 minutes of waiting. Looking around there were many other tables discontent waiting just as long for food, pissed off, and ready to leave. On the way out, we talked with a few other guests who were also disappointed and one group was considering escalating the poor service on a physical level.On behalf of all the unhappy guests who dined on 3/27/21, I would not recommend this restaurant to anyone looking for a quick and convenient meal, and I am definitely never eating here again myself because the experience was that awful. The two servers were doing their best so it's likely that the kitchen itself was understaffed. No matter the reason, the cashier should never have charged his customers an automatic 18% gratuity, and Solvang Brewing Company should have had the decency of informing guests of the 30 minute to hour long wait.",1 star rating,Jasmin B.
1/17/2021,"Pico Rivera, CA","The American burger is where it's at! This Saturday (1/16/20) morning I encountered a two man iron crew. One employee in the front taking orders and the other in the kitchen cranking out delicious food. Wait time was still less than 15min. Spectacular service! The American burger was perfect, it was delicious. The toasted brioche bun combined with the house sauce definitely makes this a must try burger.",5 star rating,Omar F.
4/7/2021,"Studio City, CA","Waited for an hr to get 3 sausages, pretzel and kids burger that was half raw inside. U would think it would be cooked fully after such a long wait. I was here many years back and wanted to try the sausages again but it sure wasn't the same.  One kitchen guy for the whole restaurant, no way the business will survive after this until they move the game on and get more employees. If u pay by credit card 18% gratuity will automatically be charged. So u pre order ur food, take a number and wait. I wish them well in the future since they've been around.",1 star rating,Sucharkin L.
5/19/2021,"Menifee, CA",Excellent service and the greatest atmosphere. Great food and beer. They were very busy but they still provided great food and service.,5 star rating,Ron H.
5/4/2021,"San Diego, CA","I wanted to come here via our annual ""Buellton"" trip with the gang.  We were here October 2020 and imbibed their Bloody Mary's, which was one the best things that they had to offer, in my opinion.  When you get a couple pieces of thick bacon slices, several olives and a few celery sticks~which coincidentally I consider a meal~with the drink, you know you have hit paydirt.  Well, that was nearly a half year ago.  Nowadays, the same drink is the same price and now is just a ho-hum of a Mary.....Oh, well, glad that my better half & I were able to get Bloody Mary meals last year.....We will be looking for other places next year and see what's on the docket....wish us luck and hope everyone is doing good and looking forward to a life without wearing face masks~again!",3 star rating,Alex A.
5/15/2021,"Torrance, CA",Ok had food and drinks at this place. I gave it a 3star because you had to order verses a waitress taking your order. And I didnt like the fact when using your credit card that they added 18% tip to your order.  Also took 1 hour to receive your food. You should have more staff to handle customer service better. Its not nice to wait so long for the food...,3 star rating,Monika L.
5/24/2021,"Newport Beach, CA","Been coming here for awhile for business. Today was the most disappointing visit. Even with everything opening up u would think ppl would be motivated to help customers, we got attitude from the young servers. The food is not great and super expensive. Soo sad we love it here. Tomato soup was warm not hot. No crackers or bread tasted like spaghetti sauce. Ordered a pizza to go. Walked across the street to eat in hotel and it was cold little under cooked. Like I don't get it. Wouldnt restaurants want to go above and beyond the customer service after being slow from covid. I hope things get better.",1 star rating,Jen S.
5/8/2021,"Tracy, CA","Yes, like some ppl wrote earlier, ppl are busy here, no time to talk or care about customer service, food is good, drinks are ummm ok, slight weak but ok. This is business so they are making money. 18% automatic gratuity not cool. But again like someone wrote, Nick is awesome to talk to. He is one of the guys actually asking us if we are good or if we need anything. So if you see Nick give him good tip.. best part of brewing company...",4 star rating,Binny S.
11/14/2020,"San Diego, CA",Horrible service! We got in the waiting list and they told us it was going to be around 25 minutes and we've been here for at least one hour and no one has called us PLUS they offered us to wait at the bar while they called us and at the bar the service is terrible. The guy just don't want to help us! He knows we are here having appetizers and drinks but we've been waiting as well for refills and NADA!! This place sucks,1 star rating,Adriana R.
5/1/2021,"Los Angeles, CA",If you are ever in solvang this is a must great place to have drinks and eat specially if you come with dogs they are dog friendly too except that they don't have dog food which was a bummer but other than that great place to hang out,4 star rating,Aide C.
1/27/2021,"Los Alamitos, CA","Solvang, I love this little Danish town, I have been here a milion times. We were passing through on our way to San Jose and we stopped over here to have some food and well, Since i was driving i couldnt have a Tap beer. I have  a soda or a water. Think i ordered some fries and a burger. They have all sorts of food and boose here this place is awesome. My first time here, but id drink at the wine bars out here and get shitfaced in the city lol. Was a nice crowd few months ago, where we could dine in. Staff are cool, Bartenders are so customer friendly. I am not surprised, ill be back here in the Summer.",5 star rating,Michael K.
11/16/2020,"Oxnard, CA","Perfect family atmosphere! My husband and my son's meals were good they both loved it, I was not to fond of my own which is the only reason for the 4 stars.Husband got chicken strips and fries, son got burger and fries both came out hot and both were good. I got the pesto chicken sandwich and onion rings and I was not fond of either, the onion rings were watery and pesto was too much pesto and the mozzarella cheese wasn't melted. Other than that, the atmosphere was great, very kid and family friendly.IT was just COLD but they accommodated with the heat lamp. The drinks and cocktails were delicious and the customer service was great. They get busy fast and the ETA on waiting for a table was told 45 minutes but within 30 minutes we were seated. Definitely a good end to a day in Solvang and plan to come back again.",4 star rating,Arlene E.
5/4/2021,"Long Beach, CA","Awesome staff, awesome service, and the food was effing amazing. Can't wait to go back!!",5 star rating,Sondor V.
1/2/2021,"Fremont, CA","Will definitely be coming back here again! Amazing drinks selection, but it's more fun when there's a dine in option and we can drink in... pretty sure we all miss that. The staff was so kind and offered their assistance with options whenever required. Would definitely recommend a visit!",4 star rating,Prabh N.
3/7/2021,"Rancho Cucamonga, CA","We came here for a quick beer during the week. Beer wasn't bad, we had to order food with our drinks. We ordered the pretzels. It was okay. We liked the seating and it was a nice atmosphere. I'd probably go back again. It was a pretty chill place.",4 star rating,Brittany M.
5/13/2021,"Huntington Beach, CA","I went there yesterday (5/12/21) for beer and food.  Their beer was mediocre and so was the food.  I tried their IPA and brown ale.  The IPA was not very hoppy and had a weird after taste.  The brown ale was insipid lacking flavor.  But what annoyed me the most was on my order for 2 people they automatically added an 18% tip which was not apparent unless you closely analyze the bill and the bill has a big space for more tip, so I ended up tipping over 30%!  I didn't realize this until later.  As I had to go order my food and drink at the bar, no waiter service, that was exorbitant.",3 star rating,Alan B.
9/25/2020,"Fresno, CA","Came here for take out after getting to town late Friday night Sept 18, 20. They had just reopened after being closed for months and it was a mess. They hadn't quite got back into the swing of things yet. Despite that the staff they took our order was friendly and helpful. Food took forever to get and they forgot to package one item with our order so had to wait longer. The food itself was okay. Nothing special. I think with time they will figure things out again and things will improve. But I'd give it a little time before visiting. The outdoor area is really nice and the location is good.",3 star rating,Christina C.
10/3/2020,"Los Angeles, CA",I love their outdoor seating area! It's quite enchanting with the lights. They definitely enforce social distancing and the staff wear a mask.,5 star rating,Krystabel M.
1/21/2021,"Los Angeles, CA","I've been to Solvang many times over the years. I know that during the breakfast hour and the lunch hour it gets super busy and restaurants you'll be stuck waiting for some time. However, just to our luck we tried this spot out and got a seat right out front in their beautiful set up. Now, they don't have a huge selection on food. This is a brewery. What we did end up choosing was the salad and wings. Both portions were huge and definitely filled us up for lunch. Due to the pandemic there's no seating inside but from my walk the bathroom it looked pretty cool. Food came out quick and the staff was helpful in recommending items of the menu. Dog friendly.",4 star rating,Dennis C.
9/23/2020,"Henderson, NV","This place is so cute. In a town full of wine, this brewery is a haven for the beer lover. There is plenty of outside seating and space; they've done a really good job there. The beer was not bad, although a little hard to find. We couldn't find the beer menu and we weren't looking to eat, but because of COVID you have to order food and they make you order an entree...it was huge. No bueno. If I had been hungry the beet salad would've been delicious. We also asked for waters which we never received. The town and the ambiance can't be beat. Cheers",4 star rating,SAnne H.
2/15/2020,"Ventura, CA","I had higher hopes for this spot. We got in at a good time because when we left on a Saturday at 2:00, there was a 25-30min wait. My menu was missing a few pages, and there was a discrepancy with the beer list. The beer wasn't the best, I was not a fan of the Valhalla ipa or the other rotating double ipa they had. My girlfriend enjoyed their blonde ale. The food was really good, the wings were a little dry but still had good flavor. The blue cheese burger with bacon was amazing. The blue cheese was slightly melted which always adds to the bite.Giving it 3/5 because the beer wasn't that good and it was fairly pricey, $16.95 for a burger with a few fries; I won't be coming back. Bill was $60 for 3 beers, buffalo wings and a burger, too much in my opinion.",3 star rating,Anthony C.
11/28/2020,"San Francisco, CA","Waited for 25 minutes to be seated, then another 30 minutes for the food to be cooked, then another 5 minutes for table wares, this is 3:30pm.food is not bad.",1 star rating,Cliff C.
3/12/2021,"Santa Maria, CA","Loveee this place. They're covid set up is very good, the food is spot on and the service is great. Def a good place to munch on after hitting a few wineries.",5 star rating,Gladys P.
