date,location,review,stars,username
5/24/2021,"South San Francisco, CA","Lovvvvve seeing grandmas and grandpas in the kitchen.The wait for this place was 20-30 mins. We originally planned to go to another place down the street (and still did), but then decided to come here too.Got the Super Rica Especial and it came with three HANDMADE tortillas. The grandma (or mom) was making it on the front and you could see it from the all cash register. Grandpa was taking orders and money from everyone.That said, what we got wasn't suuuuper flavorful and the most spicy salsa wasn't spicy at all. The pork in the Super Rica Especial didn't have a ton of marinade and we had that on #11 taco too.Someone highly recommended the chille relleno, which looked pretty tasty, so I'd come back for that.There was a ton of seating, so definitely a great place to bring family. There was a picnic area behind this place and some seating in doors. I'd come before 1130am, when the rush starts.",4 star rating,Christina L.
4/20/2021,"Phoenix, AZ","This place is incredible. The chili relleno is the best I've had in my life. Hands down. The other food is good but next to the relleno, it's nothing. I love Mexican food and I've had many a relleno in my time but this one is by far the best. If you're in the area-try it. It's not overpriced like a lot of places in the area either. They have good covid restrictions as well, sanitizer is available, they're enforcing social distancing and mask wearing and it's only outdoor dining.",5 star rating,Kirsten Z.
4/18/2021,"San Francisco, CA","this is one of my boss's favorite spots in town (and also apparently Julia Child's?) they take cash only by the way and they have a small parking lot as well as some street parking. there's a few outdoor tables and a ledge where you can stand and eat as well. very limited indoor seating (it's really more for waiting for your food but some people sit) I ordered the vegetable tamal and the super rica especial while my friend ordered two steak tacos and also the super rica. We also got the horchata which was quite cinnamon-y but a bit too sweet for my taste. My friend loved it though! Vegetable tamal: (3.5/5) have never had a tamale before and I had no idea what to expect but this was delicious! The texture was great but it didn't come out super hot so that was a bit disappointing. The cream sauce on top is truly delectable. My only other note is that I wish it had a bit more flavor or spice (I added the spicy salsa and pico de gallo but it was still not to my standards) La super rica especial: (4.5/5) If you get anything here, I'd recommend you get this because it is spectacular. The char of the roasted peppers with the creaminess of the cheese and the flavor from the pork is...chefs kiss. They make their own flour tortillas in house (which is interesting as I'm used to corn) but the tortillas were really wonderful and a bit thicker as well. It comes with 3 tortillas but I honestly would've been happy with just the 1 since it was too big to pick up anywaysSteak tacos: (4/5) the steak was not dry which I usually get worried about - it was sooo juicy and jam packed with flavor. I would order this again next time too!",4 star rating,Stephanie N.
5/26/2021,"Queens, NY","At certain times, the line may be long, but no worries, because their turn around is quick. Everything is made to order, and it is a no-nonsense sort of spot. Know what you want before you get to ordering! Each taco is small, so you can try multiple different flavors. Note that the green sauce is VERY spicy (but very good!).",5 star rating,Jane H.
3/1/2021,"San Diego, CA","La Super-Rica Taqueria is a Santa Barbara/Central (CA) Coast institution. Its most high-profile fan is the late Julia Child, who could be frequently seen at this taqueria as she lived out her last years in Santa Barbara County. Ever since she praised this place highly in Bon Appetit and Good Morning America, the taqueria has been elevated to cult status. People from all over the country have been coming to Santa Barbara just to eat here, among other things. This is an honor in and of itself because the taqueria is located on Milpas Street, a bit of a walk from the main beach/State Street drag.I live in San Diego, where hole-in-the-wall taqueria joints are a dime a dozen and every local has their own preferred spots. While I wouldn't plan an entire Central Coast itinerary around this place I will rave highly about their corn tortillas, the best I've ever had. The secret is that there's a dedicated person that shapes the fresh masa into balls, pounds them into the flat, tortilla shape and puts the tortillas in the griddle along with the rest of the filling. Can't think of any place in SD that can make corn tortillas of the same quality, and the only other place I can think of that does them right is in Mexico. Due to its cult status, expect a line. Even on a Monday evening I was waiting in line for ~20 minutes and after placing my orders I still waited another ~20-30 minutes for my food to be prepared. Since everything is made fresh this is a natural consequence. Wasn't too concerned since I was on vacation and I made small talk with two people while waiting in line. As many people have pointed, cash only.At the time of my visit SB County was red tier yet the dining area was closed so the space was converted into a waiting area. There is another small area towards the front of the restaurant where you could eat your food. I took advantage of this because it would've been a 30-minute walk back to the hotel and I wanted to eat my food fresh. In hindsight this was a good decision.My orders:- #1, Taco de bistec (grilled beef. Served on two corn tortillas, $2.75). While delicious, the quality is similar to many other taquerias back home.- #16, Super-Rica Especial (roasted chile pasilla, cheese and marinated pork, on 3 tortillas, $7.90). I was told to get this from many sources. The spice level itself is very mild - I had to use salsas to make this a little more spicy. Pasilla chiles are used here to add more savoriness and smokiness to the pork and cheese. - Chilaquiles (corn tortilla strips lightly fried then cooked in a spicy tomato sauce, garnished with cream sauce, cheese, avocado, tomato, grilled green onion). Had these the next day. Not one of my smarter decisions but still good when heated in the microwave the next day. The popular items are their tacos, #16 and most things on their daily specials board. I hear that their pozoles and tamales are good but are only served on weekends. Guess I know when to time my next visit to this place.",5 star rating,Isabella B.
2/23/2021,"Los Angeles, CA","Bottom line: You can tell by the homemade fresh tortillas, this is Truly one of the greatest Mexican restaurants in SOCAl. You're gonna bring CASH, because  La Super-Rica is CASH ONLY!During peak hours, be prepared for long lines. All orders are 'made to order'. You can expect 15-20 minutes wait time.Ordered their special (believe #16)? Roasted chile pasilla stuffed w/ cheese, with marinated pork and 3 tortillas.The homemade tortillas, are thick, doughy. No namely-pamby store-shelf dry taste. It truly makes a great 'taco' when you mix the marinated pork, and cut the Chile pasilla into pieces. Would recommend the cooling green sauce, not the spicy red. The spicy red will override the tasty marinated pork.The quality of the Chile pasilla with cheese reminds me of my other top-favorite Mexican restaurant in SOCAL in Los Angeles -- La Azteca Tortilla. The cheese/chili Relleno  burrito has similar palatable overlap.",5 star rating,Daniel B.
5/21/2021,"Hayward, CA",Make sure you bring cash because this place is cash only.  Food was very bland. Green sauce was not very good. Not sure what the hype is all about.  Overall the food was pretty basic. I've definitely had better Mexican food. Service was good tho so that's a plus.,3 star rating,Lan A.
2/26/2021,"Gilbert, AZ","Sometimes there positives about Covid like avoiding an hour-long wait at La Super-Rica. We had just two people ahead of us.We panicked when we saw it was cash only, but we at least had enough to order 4 items and leave a tip. Had they accepted credit, my husband would have ordered a few more things after tasting his frijol super rica and super rica especial. He was head over heels in love with his food! We live within a stone's throw of an authentic Mexican place in AZ, and he said Super Rica makes them seem like garbage. I got the rajas taco which was divine. How can you not love melty cheese and poblanos on two made to order tortillas? I also got a gordita which was good and definitely spicy, but the beans seemed dried out, perhaps because it was close to closing time.All in all, it was a memorable meal. My husband just wishes he could have tried more on the menu.",4 star rating,Stephanie T.
4/5/2021,"Goleta, CA","I came here for some tacos and left with 1 asada taco, enchiladas, adobada quesadilla and tri tip with sautéed veggies. The food was ok. The best thing I got was the enchiladas. The asada taco was pretty plain: just meat and the tortilla. I've never been here before so I didn't know they didn't come with cilantro and onion. I had to put a lot of pico de Gallo on it just to have flavor. The green salsa had a somewhat sour taste also. The adobada meat was marinated really good and so was the enchiladas. It was packed with potatoes, chicken, guacamole and came with some really good sour cream. If I ever come back, I'm definitely ordering just the enchiladas. Oh yeah and it's CASH ONLY! No cards. Remember that so you don't wait too long and end up not being able to order anything because you didn't have cash.",3 star rating,Jennifer N.
4/10/2021,"Milpitas, CA","From what I heard, this is one of the most well talked about taquerias in SB. Pretty sure everyone else heard that too because the line says it all. I waited about 20 minutes to order and then another 30 to get my order. BE PREPARED FOR THAT CASH ONLY!I ordered six tacos de adobado, one super-rica especial, one horchata, and one jamaica. There wasn't much seating available so I ended up taking my order to a local beach to enjoy. My order lasted well for the 15 minute drive as they were still pretty warm when I opened them. However, I realized that my order only came with five tacos instead of six. My fault for not checking there but I recalled hearing others missing items when I was waiting for food so check your order before leaving!Overall, I would say the food here is good but a little overhyped. I thought the taco was lacking some depth to it since it was just the marinated pork and two corn tortillas. Luckily I got some of the green sauce and pico de gallo on the side which added 10x more flavor. While I appreciate the freshness of the corn tortillas, personally not my thing for its consistency so I ended up omitting one from each of my tacos. By the time I got to the super-rica especial, I realized it was basically my tacos + chiles and cheese lol. I was pretty over the tortilla taste so just went straight for the meat. It definitely had more flavor without having to add the sauces but the flavor got repetitive midway through since it was the same meat from my tacos and it was semi greasy. The horchata was really tasty and creamy and the jamaica was refreshing and just the right amount of sweetness.TL/DR: Food is good but overhyped. Long wait  times. CASH ONLY. Get the green sauce and pico de gallo for tacos or else you'll be stuck with just meat and corn tortillas. Taco de adobado and super-rica especial have the same flavor profile. Get the horchata and jamaica. CHECK YOUR ORDER BEFORE YOU LEAVE.",4 star rating,Denise P.
