date,location,review,stars,username
5/22/2021,"Huntington Beach, CA",I came here for dinner craving some enchiladas. There wasn't any line when ordering take out and the hostesses were really nice and funny.It took around 15 minutes for the food to be prepared and they have a super organized take out system with somebody manning that station. The enchiladas came with some rice that absolutely blew me away. The perfect orange tint with the powerful flavor of lime was perfect with the mild refried beans sitting atop the crunchy tostada shell. The enchiladas came with green sauce and had perfectly tender chicken.This is definitely the spot I frequent when in the area and I love coming here!,5 star rating,Brianna S.
3/10/2021,"Los Altos, CA","W-O-W. This place will knock your socks off. I came here on a Friday night around 6:30PM and the place was popping, but the line moves fast. Half the people there are ordering or waiting for their takeout when I went, but YMMV. The parking lot is TINY (like under 8 spots I believe) so you will probably have to end up finding street parking. We parked a block over on a side street and walked over but definitely bumper to bumper parking, it's tight.I've came to Santa Barbara a few times but surprisingly have never tried Los Agaves. This is pretty much like the #1 rated place to eat on Yelp in Santa Barbara, so I knew I had to check it out. You can order at the counter and they give you a number to self seat in their back patio. I ordered the camarones guajillo and a strawberry margarita (FYI they have happy hour 11AM-5PM everyday for their margs). My friend ordered the Enchiladas Guadalajara.We were easily able to find a spot in the back patio, and were promptly served with chips and a few sauces. I loved their green sauce it was so good. We really devoured the whole basket and even asked for more sauce! The food did take about 40 minutes to come out, but the chips definitely shortened the wait. I also got my strawberry margarita within minutes, and it was delicious! Not so much strawberry taste as their was alcohol, it was pretty strong LOL and I only got a small. I loved the tajin rim, it added a nice touch.Anyway, our food finally comes and we are geeked! Like definitely ate a good amount of chips to be somewhat not hungry but I didn't come here for chips! Lol. My dish was MOUTHWATERING AMAZING. The sauce the shrimp came in was actually so delicious. The shrimp was so juicy and cooked to perfection. I loved the diced pineapples within the dish too as the sweetness complimented the shrimp very well. The guajillo chilis were very mild and I was able to eat them. The dish also came with a side of rice and their house salad. I don't know why but the rice was SO freaking good! Loved the cotija(?) cheese on top. The house salad was also delicious. It was very sweet and more of like a ""fruit"" salad. The entire dish was so amazing. My friend loved her enchiladas too, but it definitely seemed more of a basic dish. But also a solid staple you can't go wrong with.Los Agaves is THE place to be. Like I have never had Mexican food this good and I will be dreaming about this until the day I come back. THANK YOU LOS AGAVES!!",5 star rating,Serina L.
3/13/2021,"Irvine, CA",Amazing spot for food if you're in Santa Barbara! We got a takeout. We called ahead and the food was ready in less than 10 minutes. The food was legit!! The Camaronnes Ala Diablo was authentically spicy! So beware!!The cheese quesadillas were crunchy and a hit with my tired hungry kids. The salsa and guacamole that came with it was sooo good!Pricey but worth it!,5 star rating,Lizelle P.
5/23/2021,"South San Francisco, CA","THE AL PASTOR TACO.Ok, ok, so this place looked expensive and we were hesitant to get a large dish. Plus, we had a toooon of other food stops, so just got the tacos for a try. An al pastor taco can tell you a lot.THIS TACO had cheese on top of the tortilla, then the marinated Al pastor + pineapple + AND and extra sauce. There was so spit roast, but this place was scrumdidlyumptious.Maybe we just got the right thing or maybe this place does other amazing dishes. The CA Burrito did have rice though, so tbd on our next visit.",5 star rating,Christina L.
5/22/2021,"Santa Barbara, CA",Good local food. Big size portions but lack customer service.Today I ordered two family meals online around 3:15 it said it would be be ready at 4:04 we showed up at 4:10 and they hadn't started our order yet. They said it would be 15 mins but offered no apology. Food was not ready ready till 4:40. I asked to cancel the order but said they don't offer refunds since I had already paid I would have been out the money.This is not the first time they have been rude. They need to up their customer service and get orders out on time.,2 star rating,Marlene D.
4/24/2021,"Los Angeles, CA","WASTE OF TIME AND MONEY!! Came from LA to visit Santa Barbara for the weekend and this place was a TERRIBLE START TO LUNCH! THIS PLACE IS NOT FOR VEGETARIAN FOOD! There are hardly any vegetarian options. We ordered the nachos and quesadillas. The nachos were not great and everything just had a lot of cheese especially, the quesadillas. Quesadillas were not at all warm and the cheese was just solid. I ended up paying $9.73 for the Guacamole that is ""Market Priced"" was so disappointing as you clearly see under the pictures. Even our server said that the Guacamole should have been around $3.00-4.00. The one sad option they have for tacos is the Taco Rajas Con Queso which looks so unappetizing, I would not order this again. Fajitas were so hard to digest. I would highly suggest not coming here if you are vegetarian/vegan.",1 star rating,Rupa S.
5/27/2021,"Buena Park, CA","Nice spot, but disappointed with the quality. My burrito was very sloppy and lacked flavor. I opted for the fajita burrito. I didn't like that the sour cream, lettuce, salsa, was all on the side and not put inside the burrito. Why not just put it in the burrito? Also got hit with food poisoning 2 hours after. On an upside their margaritas were delicious!",2 star rating,Andrew C.
3/19/2021,"Los Angeles, CA","After hiking the Dragon's back (3 peaks loop: Arlington, La Cumbre & Cathedral) nearby, my friends and I decided on picking up an early dinner at Los Agaves. We arrived on a Saturday around 5pm and got in line to place our orders at the front counter. First come, first serve outside dining and luckily several tables available to accommodate our party of 8.  I ordered a tostada salad with shrimp ($10.50, add $7 for the shrimp) and a single Jalisco Margarita ($10.50): fresh squeezed lime juice, tequila, triple sec, and agave nectar. Jalisco Margarita is weak and watered down.  My tostada was good and it came with a slightly sweet, creamy dressing on the side.  Shrimps were big and tasty.  Honestly, the free chips and several different salsa are my favorites. Not because they were free, lol.  See my pic -two of the salsas (there were 4) featured on my plate were the spiciest and taste the best.  Very small, free parking lot.  You're best bet is to find free street parking around the restaurant.  Overall, it was good enough restaurant to have a post-adventure meal at.  Stay safe and healthy (mind, body and soul) Yelping out there :)",4 star rating,Jules B.
5/3/2021,"Pleasanton, CA",Love this spot for lunch! I ordered the Tacos Del Mar with shrimp & loved it. It was super busy when we were there so they forgot to bring out our drinks but the ladies were so nice and helpful whenever we asked for extra salsa or for our drinks. They have great drinks and specials as well. Definitely a 10/10 spot For a lunch and a more casual dinner spot.,5 star rating,Emma W.
5/13/2021,"Placerville, CA","Super fresh ingredients! One of the best Mexican restaurants we have ever been to. Can't wait to go back...wish there was something that caliber in Sacramento area.Plenty of outdoor seatings and safely spaced out. Friendly customer service. As soon as we ordered the food on the counter, walked out to patio in the back, waitress immediately helped us clean a table and seated us. Free chips and salsas and didn't wait long for our entrees to be served. Best horchata ever. Don't miss ~",5 star rating,D H.
