date,location,review,stars,username
5/8/2021,"Palmdale, CA",Great FAST service! Very impressed.Food was amazing!!!!! Driest time here went with the Paula special danish pancakes with danish sausage and is did not disappoint. My husband had the California omelet with a side of danish pancakes. WOWZERS!! Sooooo good. We will be back.,5 star rating,Gladys M.
5/25/2021,"Los Angeles, CA","Everytime I'm in Solvang I want to try this place but they always seem to be very busy, before Covid and during. Come here on a weekend, you may have to wait awhile for a table. Finally took a chance on a weekday and found this place to be true to all the great reviews. Service and food wereequally amazing!!I had the Paula's Special, Danish pancakes with fresh strawberries and whipping cream... highly recommend!! Hubby had the pancakes, ham and eggs. He enjoyed his breakfast. They added a small slice of apple and orange, nice touch!! If your here on a weekend and willing to wait, it's worth it!!",5 star rating,Mary F.
4/14/2021,"Los Angeles, CA","While staying in Solvang we looked up breakfast places in the area. Paula's Pancake House immediately jumped out at us so we decided to give it a shot. We liked it so much we went back the next morning! Parking is relatively easy with plenty of street parking and free parking lots nearby. They offer indoor and patio seating along with take-out. Both mornings we went, we beat the rush by going early and decided to enjoy the patio area.My better half had the Danish Pancake Combination - 2 huge pancakes topped with whipped cream and strawberries served with eggs and bacon or sausage. I had the Danish Omelette the first morning and 2 French Toast with a side of ham the second time. All of the food we tried was delicious! The pancakes are ridiculously filling and tasty, the sausage is great and the eggs/omelette are perfect. Food came out fast and piping hot.Service was friendly and attentive. When we left both times, there was quite the line forming outside so going earlier is better if you want to avoid the crowds. It's been a while since we've eaten out at a restaurant due to COVID-19 but we felt completely safe. Next time we're in Solvang, we're definitely going back to Paula's Pancake House!",5 star rating,Marcus C.
3/28/2021,"San Diego, CA","Dutch pancakes baby!!!!  Best of the best.  These were insanely good.  So good that I ordered the warm apples one for myself after finishing their delicious corned beef hash LOL.  The speciality sausage was delicious with the pancakes if you're not feeling fruity and sweet.  Honestly you can't go wrong with anything on the menu.  Service was super friendly and they have a great outdoor patio to enjoy the sun, people watch, and enjoy some delicious breakfast/brunch!  Prices are on-par with other breakfast establishments in SoCal ($10-$15).  Thanks Paula's, I'll be dreaming of these pancakes in which I can't eat everyday!  A must-try in Solvang.",5 star rating,Cathee C.
4/18/2021,"Buena Park, CA","I came here for Sunday brunch. I loved the location because it's right in the middle of the area. When we got there, of course there was a line since it was during Sunday brunch hours so we put our name down and waited.  After 20-30 mins, we got seated at our table. I ordered the danish pancake combo, which are danish pancakes, sausage which I substituted for a Danish sausage, and eggs. I also ordered a side of hash browns well done. My bf ordered the chicken country fried steak. The food was delicious and the service was amazing. I would have given this 5 stars only if the chicken country fried steak was a tad bit bigger. The portion was kind of small. Everything else was so good!",4 star rating,Jeannie K.
4/18/2021,"Pasadena, CA","Paula's was one of the few places I saw a Danish breakfast-other-than-pastries offered in Solvang, so of course I made my roommate eat here with me on our last morning of vacation. I was in a mimosa mood so I ordered one, and I ordered the Danish pancake combo with a Danish sausage because I *am* that person and wanted to get as Danish as possible for breakfast. I chose cinnamon apples to add to my pancakes.I've had Swedish pancakes at a few diners, and these Danish pancakes were reminiscent of that. The pancake and sausage weren't strikingly different from your typical American breakfast, so even those with the taste palate of a four-year-old (as well as four-year-olds) should be able to enjoy it. I also thought the eggs were cooked alright and the apples were yummy. The mimosa was average but not appropriate for four year olds.I wasn't a fan of our table location, which was right next to flower bushes, and you guessed it, bees. Can't really enjoy a sugary Danish vacation during a pandemic without the constant drone of bzzzzzzzzz and your fight or flight kicking in during every meal. So what'll it be? Your food or your dignity? Also the service here was fine. No complaints.",4 star rating,Colby D.
4/3/2021,"Los Angeles, CA","Danish pancakes are pretty darn tasty. They're light and fluffy and as wide as they are, I feel like I can eat stacks on stacks of them. Had to try a Danish sausage while I was at it too, and they were okay. Basic, mild, tasty. We dined in and it was hot inside. Air needed to be on. Staff/service was okay. It was a Saturday and it was bussssssyyyy, so I totally get why the staff seemed super stressed out. Overall, it was worth the 45 minute wait. Just strollup/down the street and check out the other shops.",4 star rating,Genie L.
4/1/2021,"Irvine, CA","A typical, touristy Solvang Danish breakfast spot. Really crowded, but the hosts do a great job seating and getting people in and out quickly.The breakfast came out super fast. A little surprisingly too fast for how busy the place was. The sausage was lukewarm and pancakes were the same. But no big deal. Who doesn't like lukewarm sausages hahaThe breakfast was just ok. The Danish sausage was super subtle in taste. The Danish pancake was soft, thin pancake that was Danish haha Nothing that tickled my tastebuds or OMG 5 star, but just alright breakfast items. If you're looking for a typical, really decent serving size breakfast then this is the spot. If you're looking for special flavors, then this isn't your spot.",3 star rating,Jenn C.
5/28/2021,"Santa Cruz, CA","Breakfast was SUBLIME! Starting with our friendly, knowledgeable, efficient server, Tamara! I was barely able to snap a picture  before my husband DOVE in. The Danish pancake was light, airy and as a Vermonter  maple syrup was ABSOLUTELY not missed! Don't be fooled by a line. The restaurant seating is fast and efficient and yet, once seated, we didn't feel rushed AT ALL!",5 star rating,Lois R.
3/4/2021,"Irvine, CA","Always a solid breakfast stop for us whenever we are headed up north for a road trip! We always order:Paula's special danish pancakes with fresh strawberries - 2 thin large plate-size pancakes with fresh strawberries and syrup. Always so fresh and delicious! We always finish our plates!Scrambled eggs - fresh and lightly whipped.Hash brown - wow, it's so crispy and perfect!Coffee - standard coffee hereHot tea - I love that they give you your own little pot of hot water to refill your tea.Patio seating due to covid but they turned on the heaters which was nice. Overall, one of our favorite breakfast spots in the area. Come early to find parking and avoid a long wait!",4 star rating,Sara K.
4/12/2021,"Alhambra, CA",Delicious!! I had the danish omelette with has browns and a fresh baked biscuit and it was all perfect! The omelette comes with havarti cheese and danish sausage. My boyfriend got the danish pancakes with scrambled eggs and and bacon. The danish pancakes are large and thin like crepes and they had home made whipped cream and it was SO good! We ate every bite. Would come back for breakfast againServer was friendly and polite and came back to check on us promptly and asked if we needed any refills.,5 star rating,Candace P.
1/8/2021,"Berkeley, CA","Quick service & friendly staff! When doing research on places to eat in Solvang, this was a highly recommended spot from travel blogs/websites, so naturally we had to check it out! Solvang Danish Sausage & Eggs: Comes with hash browns & your side of toast! It's a solid go-to if you want that traditional breakfast fill up, though for the amount of food you get, $11 is a but pricey. The sausage was good though, and the flavor reminded me of pate!Danish Pancakes with Strawberries: This is what you come here for (it's boxed on their menu to highlight that it's a specialty as well!) It comes with syrup, butter, and a type of crema that works so well together! (Fun fact: the container of crema was heavier than the container of strawberries, something I wasn't expecting) The pancakes themselves are thinner than a traditional American pancake, but a bit thicker than a crepe. Overall: Pricey for certain items, but a great place to try Danish breakfast foods!",4 star rating,Michelle H.
4/4/2021,"Milpitas, CA","Let me just start out by saying this is by far some of the fluffiest breakfast items I've ever experienced! My party ordered the danish pancake combo that came with two pancakes, choice of bacon or sausage, and two eggs and the belgian waffle with fresh fruit. The thin consistency of the pancake make it feel super light and not heavy. Paired with some maple syrup and fruit and you got a perfect combo of flavors going on. I also really enjoyed their bacon! It's not your average bacon and has a nice smokiness/crisp to it without being oily. As for the belgian waffle, it was crispy to cut but then every bite was so fluffy! Also super enjoyable with the maple syrup and fresh fruit!I came around noon on a Thursday and there was an approximate 30 minute wait. Honestly wasn't bad because that gave me some time to stroll around Solvang. Not sure if it's the idea of being in Solvang itself or the environment architecture, or the fact that the staff were dressed in Danish clothes, but the place had a certain charm to it and absolutely loved my experience. Do yourself a favor and check out Paula's. You won't regret it!",5 star rating,Denise P.
5/11/2021,"Henderson, NV",The best pancakes I've ever had! Wait time was long but worth it. This place and town are so adorable,5 star rating,Kerstine W.
3/20/2021,"Bakersfield, CA","Great breakfast. Our first experience with danish pancakes vs buttermilk pancakes, and we had danish sausage and danish omelette. The danish sausage is pretty clean tasting. Our server is always checking, making sure we're ok. It was a cold morning.",5 star rating,Johann L.
12/28/2020,"San Diego, CA",Super popular breakfast and lunch spot in Solvang. I love diner style sandwiches and dishes and my trusty Yelp had so many good reviews for Paula's so I was excited to try it. We visited in January of 2020 and it was super packed. We actually got seated pretty quickly out On The patio. I had the pastrami sandwich on a grilled French roll with no cheese. It was so good and really hit the spot. Great fuel for a day of exploring the town and thinking wine. My BF got the patty melt and he said it was delicious. The fries were addicting. Not too thick and retained their crispness.,4 star rating,Kris G.
3/7/2021,"Palmdale, CA","The food was sooooo good. I had never tried a danish pancake before and I enjoyed it. A Mimosa for the table is 25 dollars, which includes a large bottle of champagne and OJ. The staff seemed super busy which was understandable because the place was packed. We had to wait an hour for a table. But since it was so busy our waitress never asked if we wanted refills in our drinks. We had to ask the neighboring waiter to help us out.",5 star rating,Shanette M.
3/27/2021,"Loma Linda, CA","First time in Solvang and already everyone told me to stop at this place for breakfast.  It's a very good breakfast joint that's very popular that specialize in Danish pancakes. Well let me start with saying I've never had Danish pancakes so I'm no expert but they were very good.  We also got French toast that had a nice crunch on the outside, waffles, corned beef hash (likely from a can), and a Danish omelet which consisted of Danish sausage and Harvati cheese.  They also served homemade biscuits that were good, refreshing mimosas, hot coffee, and good service to top it off. Would definitely eat here if in Solvang.",5 star rating,Krystal D.
5/12/2021,"Los Angeles, CA","One of the most popular spots in Solvang, make sure you give yourself time because the wait can be long. The danish pancakes are delicious, the smoked salmon was a little salty for my taste but still great! The staff is great as well! Oh and DEF grab one of their danish sausages!!!",4 star rating,Kevin L.
12/2/2020,"Glendale, Los Angeles, CA","A must during your visit to Solvang, at least just once. Join the waitlist about an hour before you'd like to eat. It's hard to mind the wait when there is so much to do in the area. It's the busiest of breakfast restaurants on the street, lots of commotion. They occupied the entire sidewalk space which makes lots of room for distanced tables. They seemed to be accommodating for children and handicap accessible. There's really only one thing on the item to review here and that's the Dutch pancake. I went all the way with strawberries and cream and it was worth it. The apples and blueberries are also delicious. The combo plate is a great deal!",4 star rating,Lauren A.
