date,location,review,stars,username
5/25/2021,"San Francisco, CA","even on a Monday night, this place was packed. We got there 7:00 and the wait for two was about a little less than an hour. it's a cold wait on the pier because of the wind so don't forget to bring a jacket!! after a long wait, we got seated right at the railing next to the water. what a beautiful view especially as the sun was setting over the water. the lights were reflected and it was truly a beautiful sightI ordered the cioppino and my friend ordered the abalone. It came out promptly - nice and hot. I've never had abalone but when I tried it I really enjoyed it. The cioppino comes in a bread bowl which got a bit soggy. I wish they would've used something that didn't get as soft or even toasted it a bit. It comes with crab, clams, mussels, shrimp, and scallop. As a seafood lover, I really appreciated this. The broth was nice and flavorful but there just wasn't enough of it (or perhaps the bread soaked it up...) Honestly I just don't think a bread bowl is the best vessel for cioppino... Large portion though - I couldn't finish and took it togoBTW they use paper straws here and I personally hate them - would rather just have no straw honestly. Good service and nice ambiance. Perhaps a bit pricy though. They have a takeout window which is much faster and they even have some picnic tables you can sit at right by the water",4 star rating,Stephanie N.
5/24/2021,"Anderson, IN","We stopped in Santa Barbara for lunch on our trip to Santa Ynez.   We wanted to eat in the water and walk a bit so this was the ideal spot.   We arrived at 11, just as they opened and found a table outside.   They have full service seating outside, full service seating inside, and a take out window with picnic tables on the deck.   The seating is limited everywhere. We both ordered the crab chowder which was good but not hot enough.  We also both got the Oysters Rockefeller which I would NOTt recommend.  The oysters themselves were wonderful but they were topped by a precooked spinach mush with a drizzle of sauce on top.   They weren't baked which is a huge no-no for me. Go for the view.   Once.",4 star rating,Susie R.
5/12/2021,"Los Angeles, CA","Came up on a weekend to finally try some uni and my friend who moved here suggested SBSC. Instead of the dine-in option we chose to go to the take out side and just squat at one of the picnic tables on the wharf. The process for that is a little disorganized. The menu is in front and they have a QR code but you still have to hover around to get it and you won't see their specials/oysters of the day until you get up there. Their regular menu options are pretty expansive and besides the uni the windy conditions called for their clam chowder. *Their chowder has bacon* which is: 1) GREAT! 2) authentic and 3) highlighted on their menu. I hadn't had a bread bowl in a while so I got it in a bread bowl.They give you a number and wait for your number to be called-the order window is the pick up window as well so there's some more disorganization there and I feel bad because I'm sure the guy's voice was sore after the day was over.The chowder was great and I ate the entire thing-even after I had three uni covered scallops that popped out even more because of the blood orange. Maybe next time, dine-in will be a better option.",4 star rating,Ted C.
5/23/2021,"Pomona, CA","Fresh seafood right on the pier so you can really enjoy the ocean. We had the clam chowder in a bowl with bread on the side, crab cakes with side of onion rings, and a lobster roll with side of onion rings. Everything tasted delicious and service was great, even when we were seated outside with our dog. Highly recommend coming out here for the good food and view.FYI, no fish and chips here!",5 star rating,Kathy H.
5/17/2021,"Santa Monica, CA","As a tourist, I don't know if this is considered a tourist trap. If so, sign me up! Great seafood on the pier at reasonable prices.If you don't want to wait, I recommend arriving soon after they open (especially on weekends). There's both restaurant seating as well as a takeout window. If you do the takeout window, there's a good number of picnic tables that you can sit at. Regardless of your choice, there's likely going to be a line of folks ahead of you and at least an hour minute wait.Food-wise, I've tried the box crab, uni, and fried seafood plate. If they have the uni, get it!! At under thirty dollars, its a steal for the amount of fresh, umami uni you get. The box crab is fresh and super flavorful. If you dine in, they'll even bring out a live crab to show you what it looks like. The fried seafood is also tasty, with plump pieces fried to perfection.Make sure you confirm with your waiter what you're ordering. Once, I ordered the rock crab and the server misheard me and brought out a 2.5 lb box crab. I didn't realize it until I got the check, resulting in a $40 difference between what I was expecting to pay and what I had to pay. Very unfortunate, but luckily I was able to absorb that cost.Also, the pier gets very very windy so bring a windbreaker! By the end of our meal when we dined in, I was chilled to the bone and immediately had to go take an hour long hot shower (no lie).",5 star rating,Angela C.
5/3/2021,"Berkeley, CA",3.5 to 4 for the seafoodCame here with my parents for a quick snack (lol) before dinner. I wasn't wowed by their seafood and was moderately underwhelmed by the quality & quantity of the seafood I had for the price. Seafood isn't bad- not the freshest I've had.Worth a try? SureWill I personally be coming back? Don't think soCool views though!,4 star rating,Tiffany F.
4/30/2021,"San Francisco, CA",Sooo good! We went on a Saturday for lunch just before 11 and to our surprise there was a long line. Is getting there early was a good idea because we got seated just as they opened and didn't have to wait long for a table. My ratings below:* Clam chowder 4/5 - served with crackers and was very good* Box crab 5/5 - my first time trying this and ordered because my fellow yelpers recommended this. It's served with onion rings and melted butter. Crab crackers and scissors provided for your convenience.* Lobster roll 4/5 - served with onion rings and coleslaw. They did not skimp on the lobster! Very good!* Bloody Mary 3/5 - I've had better. It was lacking picked toppings! * Staff 4/5 - attentive and friendlyBring a jacket! It gets windy out on the pier. Will come back for sure!,4 star rating,Nyla K.
4/11/2021,"Los Angeles, CA","Great spot right at the end of the wharf. Everything we ordered tasted sooo fresh and delicious. We got the cioppino which had so much seafood in it - the huge crab legs and scallops were amazing. My boyfriend had the lobster roll, also yummy and generously stuffed. Finally we had the crab cakes that were perfect with the smoky aioli.Definitely coming back here the next time I'm in Santa Barbara!",5 star rating,Jade V.
5/11/2021,"Anaheim, CA","The perfect location for the ideal get away. Located at the end of Stearn's Wharf anticipation builds with each step on this wooden built pier. There's a sign in sheet to put your name down with a preference of inside or outside. I would recommend outside as the inside is drafty and cold. An open kitchen the cooks work relentlessly preparing order after order. We had the: Shrimp Ceviche 4/5 a bountiful serving with chips. Bisque of the day in a bread bowl 5/5. The day's basques was crab. Creamy and delightful. I wouldn't get the bread bowl and opt for a cup instead. Lobster Roll 4/5. Lots of lobster and nicely flavored. The roll, which is more of a large thick slice of bread, didn't compliment the lobster contents. The bread was too dry and tough. The plate included coleslaw and two onion rings which were both very good. You can also order at a take out window to eat at picnic tables.",4 star rating,Screaming M.
4/13/2021,"San Diego, CA","I've gone here 3 times and two times was in my last trip. If you want a fancy dinner this is not your place but if your are craving some good food than this is your place!  I came here on a girls trip in October and I think most of us got the Lobster roll and we got some apps and a bottle of wine and we were all in heaven. So when I brought my husband here last week I knew I was getting the lobster roll again! It was a tad more crowded now then it was in October so we had to wait like 35 min on a Tuesday around 2 pm. My husband got the lobster bisque in a bread bowl and I had to have a taste! My god the best lobster bisque I have ever had! I also lived Newport, RI and had a plethora of lobster bisques there and hands down by a long shot theirs is better! So later that night we were like both day dreaming of lobster bisque and the next morning still talking about the bisque. We had to go back! So after doing some wineries on Wednesday we went back for the beloved lobster bisque. Well it was later now probably around 6 now and there was a really long wait but thankfully the side window was open. We stood in that line for probably 20 min and had hour bisque in a bread bowl at the picnic tables. Yup it was just how we imagined it. I'm actually really upset I didn't take a photo of the bread bowls! I think I was craving it so much taking a second to take a pic didn't cross my mind! Can't wait to go back to Santa Barbara and definitely will be back here! They are also dog friendly and the waiter brought my dog her own water bowl!",5 star rating,Caitlin B.
