date,location,review,stars,username
4/11/2021,"San Francisco, CA",so I forgot to take pictures except for the first plate they brought out but that just tells you how good the food is. I came by on a lovely sunny Santa Barbara sunday around 3 PM. they said it'd be around 45 minutes for a wait and it was a little less. We walked around and sat at the beach while waiting so the time passed quickly. they have both outdoor and indoor seating during COVID and a hand sanitizer bottle on the table. the bottle is unlabeled so we thought it might've been something else but nope.. hand sanny! garlic baked clams: (4/5) I've never had baked clams so I didn't know what to expect but it was pretty delicious! seasoned super well and it has some bacon on top. it doesn't really taste like clams to meclam chowder: (5/5) we got a free cup of chowder with the seafood pasta we ordered. it came out nice and hot. I thought the cup wouldn't be enough but that wasn't the case. flavored really well!!fish and chips: (5/5) the fish was SO nice and moist and the breading was really light (almost like a tempura). It didn't taste too oily or heavy at all which I appreciated! I would for sure order this every timeseafood pasta: (4/5) comes with quite a bit of cheese grated on top. the seafood pasta has scallops and shrimp but I felt it didn't have enough seafood in comparison to the pasta. It had good flavor but maybe a bit undersalted? overall I just felt myself wanting a bit more flavor but I loved it nonethelessrice pilaf: (1/5) you get a side of either fries or rice with the seafood pasta and we opted for rice since the fish and chips came with fries. BIGGEST regret though. the rice was so bland and the texture was off...DEFINITELY get friesgreat service and great location. I love this place and I will treasure it forever. I just wish they had more seating because of the wait times,5 star rating,Stephanie N.
3/9/2021,"Berkeley, CA","This is the 3rd time I've come to Brophy's and I live in Nor Cal. I feel like that says a lot since the few times I've visited SB, I've gone to eat here. I really love the oyster Rockefeller and I've also tried the fish and chips before. The oysters are so creamy and cheesy with the right amount of lemon and onions. The clam chowder was so warm and buttery and had really big pieces of clam in it which I loved. We went on a Monday and our wait time was 30 mins, but waited 20. They are being really safe during COVID by spacing everyone out, cleaning the table down and wearing masks.",5 star rating,Francina O.
12/6/2020,"Los Angeles, CA","If you're in Santa Barbara, you have to come here for seafood!! Yes, they are open for outdoor dining and yes, there are heat lamps.They do have a bit of a wait so we got drinks nearby. The drinks here are decent but not as cheap or as good as the other place. First, I have to say the service was impeccable. Our waiter made sure we were well attended to and anticipated our needs before we even needed them! Also, he's got jokes! LolSo my friend had the blackened seabass and I had the shrimp scampi. We both got clam chowder and French fries as our sides.This clam chowder is really tasty. It's creamy and the seafood flavor is perfect and not overpowering. Drowned my bread in it and finished the whole bowl. Perfect for a cold night. Mmmmmm.My shrimp scampi was SOOO GOOD. It's a little on the pricey side but it is so worth it. The garlic butter is not overly buttery and it has the perfect amount of garlic in it. (Not going to lie we took the sauce home....) Just dip all the things in it! I wouldn't recommend getting rice pilaf as your side though cause that might be too buttery. The scampi was a 5/5!!!!I am definitely planning to come back here and have the same exact thing....I'm drooling just thinking about it....",5 star rating,Elayna N.
5/27/2021,"Solvang, CA","Brophys restaurant & clam bar is a must if you're local or visiting the Santa Barbara area expect weekday wait times 15-25 minutes weekends are a different story 30 mins plus but it's worth it.Hands down Cioppino, Hot Combo is a must. Seafood pasta is a hit here just like the famous Brophys New England Clam Chowder.Enjoy",5 star rating,Patrick D.
5/23/2021,"Gardena, CA",Service 5Ambience 5Location 10!But the food really let's this place down. Out of 6 things we ordered only the calamari and salmon salad stood out.I went here for local sustainable seafood.,3 star rating,S L.
5/14/2021,"San Francisco, CA","Visiting SB for my birthday weekend and the receptionist at our hotel had recommended Brophy Bros, so we decided to give it a try! We were seated immediately inside after being told an outside table would be about a 20 minute wait, but quickly asked our server if we could relocate to a table outside as we saw a party leave. They immediately moved us with no issue and I'm so glad we asked! The view from our table was beautiful- you could gaze out at the entire harbor. Our server, Mason, took really good care of us. His service was absolutely perfect and the food matched! My salmon dinner entree was delicious. Will absolutely come back next time I visit SB!",5 star rating,Rachel S.
5/16/2021,"Inglewood, CA","Love this place  so much! Been coming for years. I went by myself , so I think I was able to get seated quickly. Great view outside look at the boats. I love their fish and chips. I came to SB for dinner from LA, knowing I would come.",4 star rating,Tiffany W.
5/28/2021,"Hawthorne, CA","The food was pretty good. We got clam chowder, oysters rockefeller and a bacon cheese burger....all for a fair price. We left happy and full..with a few dollars left in our pockets. Bottom line, I will be back",4 star rating,Tiffany J.
3/21/2021,"Valencia, CA","First Time in Santa Barbara and I looked up the best fish n chips and was directed to Brophy Bros!  It is located right on the Harbor and the Setting is beautiful. You can look out and see all the boats in the harbor as you eat your meal. We sat inside though, because it was a little too windy to sit outside but it's still really nice inside.My girlfriend and I decided we were going to try some new things so we ordered the garlic made clams, and the fried calamari. They both came out really quick. The calamari looked amazing it was all rings and it was seasoned and fried perfectly and tasted even better. Their tartar sauce and cocktail sauce are on point. I've never had garlic baked clams before but I can tell you I will definitely be having them again. It comes with six clams and they are cooked with Parmesan bread crumbs and bacon and oh man they are so good. I'm super glad I Tried them. My girlfriend got the clam chowder and salad and I of course got the fish and chips. We had about three different types of clam chowder this weekend and Brophy Bros was definitely the best out of all three. The clams are cooked perfectly and it had potatoes and it was a beautifully creamy and delicious soup. Even the dressing for the salad was tasty.Now onto the fish and chips, it came with three very good size pieces and fries and I got a salad. The fish was nice and crusty and broke apart so easily and was beautifully white inside. Man it was definitely not a let down . SOOOOOOO GOOD !!! Flaky and scrumptious. I strongly recommend trying everything at this place because the 3 things we tried were on point and I couldn't get enough of any of it.  So if your in Santa Barbara , I have to tell you stop by Brophy Bros. You won't be disappointed . Our server was super friendly and awesome too. I can't remember her name though but she was great. It was an amazing around awesome experience !!",5 star rating,Ryan K.
5/5/2021,"Fountain Valley, CA","Stopped for lunch and got a perfect table to enjoy the view. Wonderful heat lamps kept us comfortable on a foggy cool day. We started with the calamari and sourdough bread and were quite happy with the freshness of both. Great precursor to a good lunch. We had their fabulous clam chowder with salad and tuna melts that were served with fries and slaw. The melts were a single sourdough slice piled high with tuna salad and cheese all melts on top. Edges were just a bit crispy from being under the broiler. French fries were cooked perfectly to our ""extra crispy"" request. Slaw was good too.  Our server was Juliet, and she was very sweet, efficient and attentive to our needs.  A definite place to return to.",5 star rating,Lisa M.
