date,location,review,stars,username
3/22/2021,"Redwood City, CA","What a special place! An institution perhaps. Recommended by a friend we can here for dinner and it was delicious! Super cute back patio.Great drinks, food and can I say the muffins omg! Those muffins and whipped butter! Yum.Can't wait to visit again! Thank you Palace Grill",5 star rating,Nat Y.
2/23/2021,"Goleta, CA","Back for our yearly anniversary visit. Only this time, it was exactly one year to the day since I last ate dinner AT a restaurant. I'm Upping my review to 5 stars because I think the service has been more consistent the last few times we have been here (shout out to Mayra for taking good care of us tonight). Also the food has been more consistently to what I expect, (Etoufee for me and Filetnfor her and split a chocolate souffle for desert and of course all the jalapeño cheddar cornbread muffins I could eat - 8 to be exact) . And I'm just so glad this place wasn't one of the ones we lost due to covid.  Lastly I gotta say I miss the singing and most of all Errol. Hopefully the singing returns when covid is gone, but it will be missing just a little something with out him. Hope he is resting in peace.",5 star rating,Joshua G.
11/5/2020,"Woodland Hills, Los Angeles, CA","If you're in the area, want something with flavor, great service and great food do yourself a favor and stop by. The Palace Grill serves a menu filled with authentic Cajun and Creole cuisine of New Orleans and the American South, as well as a wide range of contemporary American grill favorites. Their menu should have something for everyone. Currently due to the Covid times, their menu is a bit more limited, but still has some great choices.  The banana walnut and cheddar corn muffins are a nice start compared to the usual bread and butter, they are served warm with some good butter. The bayou greens salad is good enough to share for two and I really like the dressing on it. Flash fried artichoke hearts (when available) are not too heavy and the buttermilk dressing gives it a nice tang. Out of everything I've had so far I think my favorite is the jambalaya sauce piquante which is so savory and has so much flavor with all of the spices they use. If you're thinking about dessert, you can't skip out on the bread pudding souffle or chocolate souffle, they take a bit of time to cook so order it earlier on; they are indeed worth the wait! The whiskey cream sauces take the soufflé's to another level. Something's I've had over the various times, but not limited to:Cajun Martini - Classic vodka, chilled and marinated with a fresh jalapeño pepper, and a touch of vermouth. served in a mason jar, over ice, with a martini glass and cherry peppers.Bayou Greens Salad- Fresh seasonal gourmet greens, diced red peppers, fire-roasted pecans, roma tomato, homemade creole vinaigrette. Flash Fried Artichoke Hearts - Artichoke hearts dipped in cornmeal buttermilk batter, flash-fried and served with a homemade buttermilk dressing. Palace Pasta Royale - Filet mignon, caramelized onions, mushroom Worcestershire cream sauceBlackened Filet Mignon - Filet mignon, roasted red potatoes, seasonal vegetables. Tender filet mignon, nicely cooked potatoes, buttery and delicious veggies make for a hearty meal!Jambalaya Sauce Piquante - Shrimp, andouille sausage, chicken, spices, tomato creole sauce, dirty rice. My favorite, this is so just savory, filled with spices and filled with a nice amount of shrimp, sausage, chicken and more. Bayou Etouffee - Tender crawfish tails or shrimp, diced bell pepers and onions, traditional seafood stock dark roux, creole seasoned rice. Muffins - Banana walnut and jalapeno cheddar cornBread Pudding Souffle - Souffle bread pudding with grand marnier and raisins, whiskey cream saucePalace Chocolate Souffle - Chocolate souffle served with a whiskey cream sauce",5 star rating,Aryo S.
5/8/2021,"Sacramento, CA","This place is gross. Like scary not fresh not sure what's going to happen to my stomach gross.I'm shocked at all the 5 stars. No flavor, old food, not even Cajun. Not sure what else I can add to that.",1 star rating,Tracy P.
3/17/2021,"San Francisco, CA","I'm so glad I decided to try this place!! Came here on an extremely windy Monday evening with a friend. At first, I thought they were closed because I saw the front area was empty but after a few seconds of looking and poking around, a waiter came out and let us know that they were open and actually had seating in the back! I was so glad to hear that because it was so windy and the walls in the back helped protect against the wind!! We sat down and the ~vibes~ were very New Orleans-esque which I LOVED. They played music and had lights strung up. Inside the restaurant (which is closed now due to COVID) also had paintings and the whole thing reminded me of the Princess and the Frog.The waiter recommended the fried crawfish tails to us as an appetizer with a sherry vinegar sauce. We ordered and it came out pretty quickly along with some free muffins. The muffins were jalapeno cheddar corn muffin and banana. The muffins had a crust on the outside which I didn't expect but they were still tasty! The fried crawfish tails were a bit disappointing as I mainly tasted the breading and not the crawfish. It also was not as crispy as I expected despite looking golden brown. The sherry vinegar sauce was not something I personally was a fan of however.I ordered the jambalaya sauce piquante and dang. It was DELISH! Jam packed with flavor, each bite was heaven. The chicken was still moist and I love how it also has shrimp and sausage. It came out steaming hot and filled me up so quickly. I finished half and took the rest home. I think my only critique is that it gets a bit heavy so it'd be nice to have some relief (perhaps some roasted veggies?). The waiter recommended a bread pudding souffle but I was just waaaay too stuffed to get dessert unfortunately ): good thing I plan to head back sometime soon to sample their other creations!!",4 star rating,Stephanie N.
1/27/2021,"Santa Barbara, CA","Hi SB, this is a warning to avoid The Palace Grill. In my food was a napkin and a receipt for 2 days ago (1/25/21) crumbled in a ball and cooked into my food. I didn't find it until after it was in my mouth. I brought it back to the restaurant and they comfirmed that it is from their restaurant and from 2 days ago. I'm not sure how a restaurant that has 3 employees in it has trash laying around for 2 days that gets cooked into a dish, especially in a time of exteme sanitation. I can not explain to you how thorough disgusted I am.",1 star rating,steve s.
3/27/2021,"Northern California, CA",Friendly staff (relatable). The waiter continuously came and filled our water cups. Appetizers were full of flavor. Good portions. We could have done without the Shrimp Filled Po Boy. It was ok for us. COVID restrictions enforced; which made us more comfortable. Would definitely recommend.,4 star rating,Cin V.
5/28/2021,"Huntington Beach, CA","Happened upon The Palace on a visit to Santa Barbara. The staff was just so welcoming and friendly. The food is NOLA authentic. And the martinis? Well, they speak for themselves. As the state recovers from what has been a horrific year for many, The Palace was like a warm hug from family. Shout out to Ethan, Louis and Mondo. The ""What A Wonderful World"" singalong was icing on the cake!",5 star rating,Caitriona F.
5/26/2021,"Compton, CA",My husband and I were huge fans of this place years ago. We finally got the chance to go back and were sadly disappointed. The menu was not anything to be excited about. They used to give you several flavors of mini muffins but this time only gave us 2 flavors and they were undercooked.  We ordered their bread pudding for dessert and it was HORRIBLE! It was mushy and tasted like cinnamon toast crunch that's left soaking in milk. I was so sad. I didn't feel it was worth all the money we spent.,2 star rating,Karla R.
5/8/2021,"Cerritos, CA",The food and service was great. A little pricey but I still recommend giving it a try if you're in the area. We ordered the crabcakes and redfish. The redfish is delicious and the crabcakes were good too but the texture was a little mushy for my taste.,4 star rating,Leng K.
1/7/2021,"Carpinteria, CA","A little of New Orleans in downtown Santa Barbara.   Walking around downtown we were intrigued by a jazz player sign. Under it was The Palace Grill, offering Cajun/Creole fare.   Mondo (server) came out to the ordering/menu table and asked if we had any question.  We had already ordered dinner ( down the street) so instead we choose to order a couple of cocktails (to go).  Of course we ordered a New Orleans favorite a Sazerac.  It was delicious!!!!    Mondo was a delight to talk with.  He even gave us some muffins to enjoy with our cocktail back at home.  We hope to visit soon to try their food (all highly rated on Yelp.). Also, looking forward to the day we can eat inside and enjoy the New Orleans atmosphere.",5 star rating,Donna B.
5/29/2021,"San Rafael, CA","Have gone to the Palace Grill for dinner and drinks while visiting Santa Barbara for almost 25 years. Great food, great drinks and great service. Authentic NOLA vibe right down to the music. Don't miss it!",5 star rating,Stephen D.
5/28/2021,"Santa Barbara, CA","Get the soufflé!   Came here tonight with my wife and Kids  They loved it. This place has great atmosphere with music playing and people just having fun. And they have a roaming magician that does magic tricks at your table. Plus the service is excellent. The first thing you need to order is the soufflé for dessert. It takes a long time to make so you have to order it with your entree. We had jambalaya, gumbo, popcorn shrimp as well as the pasta kids dish. All were great.  My kids loved the soufflé.",5 star rating,T D.
11/24/2020,"San Mateo, CA","Overall, 3.5 stars. Saved Palace Grill for our last dinner in Santa Barbara. They have about 7 outdoor dining tables  and heat lamps to keep you warm during COVID. The service was very friendly and we loved the overall atmosphere with the upbeat music, patio wood deck, and lights. Service was very friendly and our food came out quick. Here's what we ordered:Crawfish Popcorn: It was hard to taste the crawfish underneath the batter. A little too much batter, which made them soft and not crispy. Pasta Royale: Our favorite dish. The pasta was rich, creamy, and full of flavor. There was definitely some sort of strong cheese in the sauce that we couldn't figure out. Filet pieces were tender. Jambalaya: Good, but not great. Had a lot of chicken, sausage, and shrimp. The dish was extremely salty, so I could only eat a few bites. Chocolate Souflee: Good way to end the meal. You have to order ahead, since it takes 30 minutes to make.",4 star rating,Lauren N.
